epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2211.03,0.7347,0.78811,0.8563,0.95877,0.92453,0.97657,0.78126,0.78343,0.65521,0.90798,0.0007724,0.0007724,0.0007724
64,2246.09,0.68548,0.72683,0.88244,0.98072,0.92453,0.97799,0.77282,0.78291,0.65005,0.90771,0.0007526,0.0007526,0.0007526
65,2278.97,0.80661,0.64601,0.8967,0.98321,0.90566,0.97787,0.78384,0.79256,0.66688,0.9093,0.0007328,0.0007328,0.0007328
66,2313.62,0.74157,0.65105,0.88691,0.98713,0.92453,0.97616,0.78231,0.81152,0.68707,0.91453,0.000713,0.000713,0.000713
67,2346.59,0.75791,0.60317,0.90178,0.99974,0.90566,0.97248,0.77254,0.81262,0.67782,0.91758,0.0006932,0.0006932,0.0006932
68,2379.26,0.68616,0.62414,0.84797,1,0.90334,0.97305,0.77567,0.77745,0.64161,0.90635,0.0006734,0.0006734,0.0006734
69,2412.88,0.74747,0.60223,0.89594,0.952,0.92453,0.97367,0.78034,0.74677,0.61892,0.89834,0.0006536,0.0006536,0.0006536
70,2445.68,0.69012,0.60046,0.87962,0.96002,0.92453,0.9748,0.77489,0.75398,0.61272,0.90503,0.0006338,0.0006338,0.0006338
71,2478.47,0.72615,0.58747,0.85569,0.97088,0.92453,0.97519,0.77493,0.7753,0.62048,0.90967,0.000614,0.000614,0.000614
72,2511.57,0.63117,0.54169,0.86576,0.99297,0.90566,0.97724,0.77578,0.77502,0.59953,0.90893,0.0005942,0.0005942,0.0005942
73,2545.16,0.72322,0.65085,0.8851,1,0.92036,0.97804,0.78037,0.77687,0.59004,0.9046,0.0005744,0.0005744,0.0005744
74,2579.05,0.81116,0.74135,0.89709,0.99228,0.92453,0.97944,0.78646,0.76386,0.58434,0.89641,0.0005546,0.0005546,0.0005546
75,2629.29,0.77229,0.57138,0.90973,0.99301,0.92453,0.98186,0.78379,0.77395,0.59343,0.89767,0.0005348,0.0005348,0.0005348
76,2663.21,0.66312,0.54056,0.85186,0.99584,0.92453,0.98155,0.78452,0.79217,0.60246,0.90133,0.000515,0.000515,0.000515
77,2698.32,0.72542,0.56667,0.87896,0.99358,0.92453,0.98169,0.77774,0.7946,0.60299,0.9033,0.0004952,0.0004952,0.0004952
78,2731.67,0.68208,0.68588,0.85933,0.99208,0.92453,0.98007,0.77161,0.7775,0.59665,0.90052,0.0004754,0.0004754,0.0004754
79,2766.1,0.71836,0.59821,0.89312,0.99065,0.92453,0.9808,0.78104,0.78573,0.5865,0.90363,0.0004556,0.0004556,0.0004556
80,2799.64,0.69356,0.52932,0.88256,0.99096,0.92453,0.98151,0.77043,0.80579,0.58426,0.90932,0.0004358,0.0004358,0.0004358
81,2832.36,0.7046,0.59174,0.85724,0.99003,0.92453,0.98225,0.77086,0.81328,0.57903,0.90848,0.000416,0.000416,0.000416
82,2867.78,0.68353,0.57288,0.87076,0.99051,0.92453,0.98298,0.7707,0.78982,0.57461,0.8982,0.0003962,0.0003962,0.0003962
83,2901.83,0.6306,0.49412,0.82978,0.99726,0.92453,0.98387,0.77406,0.7913,0.57055,0.89718,0.0003764,0.0003764,0.0003764
84,2948.15,0.63945,0.5167,0.84804,0.9797,0.9108,0.98295,0.76797,0.80183,0.57329,0.90075,0.0003566,0.0003566,0.0003566
85,2999.43,0.66603,0.56656,0.85155,0.97969,0.90997,0.98339,0.77444,0.80432,0.56476,0.9035,0.0003368,0.0003368,0.0003368
86,3076.42,0.76112,0.60284,0.89228,1,0.90125,0.98447,0.77628,0.78902,0.5599,0.90051,0.000317,0.000317,0.000317
87,3112.1,0.65928,0.55899,0.84927,0.97551,0.92453,0.98396,0.77873,0.76882,0.56198,0.89299,0.0002972,0.0002972,0.0002972
88,3145.26,0.65276,0.51052,0.86154,0.97334,0.92453,0.98347,0.78101,0.75955,0.5651,0.8882,0.0002774,0.0002774,0.0002774
89,3179.26,0.66032,0.51944,0.85543,0.97426,0.92453,0.9836,0.78157,0.76023,0.56549,0.88713,0.0002576,0.0002576,0.0002576
90,3211.98,0.63419,0.48855,0.84859,0.97818,0.92453,0.9845,0.7847,0.76483,0.56069,0.88907,0.0002378,0.0002378,0.0002378
91,3246.88,0.64687,0.62104,0.84255,0.97812,0.92453,0.98424,0.78762,0.77619,0.56152,0.89368,0.000218,0.000218,0.000218
92,3289.83,0.63593,0.6165,0.818,0.99424,0.92453,0.9839,0.77755,0.78475,0.56374,0.89621,0.0001982,0.0001982,0.0001982
93,3330.3,0.61439,0.58775,0.84197,1,0.92323,0.98311,0.77295,0.78379,0.56594,0.89607,0.0001784,0.0001784,0.0001784
94,3363.33,0.61607,0.57325,0.86131,1,0.91449,0.98178,0.78293,0.77656,0.57327,0.89275,0.0001586,0.0001586,0.0001586
95,3395.49,0.63645,0.60921,0.85091,0.97511,0.92453,0.98035,0.78333,0.77385,0.57993,0.89249,0.0001388,0.0001388,0.0001388
96,3428.5,0.61756,0.62118,0.87952,0.97421,0.92453,0.97918,0.7845,0.77071,0.58414,0.89242,0.000119,0.000119,0.000119
97,3462.88,0.62143,0.59468,0.86677,0.97806,0.92453,0.97894,0.78037,0.76489,0.58546,0.89053,9.92e-05,9.92e-05,9.92e-05
98,3496.39,0.68957,0.5792,0.85028,0.97996,0.92263,0.97886,0.7824,0.75769,0.58059,0.88907,7.94e-05,7.94e-05,7.94e-05
99,3531.81,0.6286,0.61168,0.85714,0.97983,0.91684,0.97837,0.7807,0.7568,0.57571,0.88889,5.96e-05,5.96e-05,5.96e-05
100,3564.45,0.72265,0.67838,0.85513,0.97971,0.91102,0.97848,0.7821,0.75397,0.57377,0.88818,3.98e-05,3.98e-05,3.98e-05
