epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1532.16,0.72062,1.11407,0.8896,1,0.79664,0.85382,0.57892,1.27502,1.96044,1.16882,0.0006734,0.0006734,0.0006734
69,1546.54,0.87483,1.16189,0.95808,1,0.79664,0.85382,0.57892,1.27502,1.96044,1.16882,0.0006536,0.0006536,0.0006536
70,1560.99,0.72735,1.08444,0.87533,0.99476,0.8,0.90611,0.61227,1.3016,1.91271,1.21612,0.0006338,0.0006338,0.0006338
71,1574.81,0.83269,1.23593,1.01027,0.99476,0.8,0.90611,0.61227,1.3016,1.91271,1.21612,0.000614,0.000614,0.000614
72,1587.76,0.73648,1.1681,0.89707,0.98732,0.8,0.87192,0.56542,1.35915,1.85446,1.26583,0.0005942,0.0005942,0.0005942
73,1600.18,0.7322,1.07862,0.89574,0.98732,0.8,0.87192,0.56542,1.35915,1.85446,1.26583,0.0005744,0.0005744,0.0005744
74,1613.71,0.7496,1.01606,0.92811,0.98524,0.8,0.895,0.55464,1.44443,1.89384,1.29275,0.0005546,0.0005546,0.0005546
75,1628.73,0.79149,1.20806,0.97223,0.98524,0.8,0.895,0.55464,1.44443,1.89384,1.29275,0.0005348,0.0005348,0.0005348
76,1642.07,0.68974,0.93156,0.89712,0.9879,0.8,0.93786,0.58288,1.43839,1.83995,1.27677,0.000515,0.000515,0.000515
77,1655.44,0.73149,1.12637,0.89809,0.9879,0.8,0.93786,0.58288,1.43839,1.83995,1.27677,0.0004952,0.0004952,0.0004952
78,1668.97,0.71264,0.96187,0.8629,1,0.98279,0.995,0.63259,1.41225,1.81367,1.25074,0.0004754,0.0004754,0.0004754
79,1682.47,0.79078,1.04362,0.88816,1,0.98279,0.995,0.63259,1.41225,1.81367,1.25074,0.0004556,0.0004556,0.0004556
80,1696.46,0.63404,1.06717,0.92657,1,0.98388,0.995,0.63557,1.39262,1.84392,1.22739,0.0004358,0.0004358,0.0004358
81,1711.03,0.77147,1.10616,0.87373,1,0.98388,0.995,0.63557,1.39262,1.84392,1.22739,0.000416,0.000416,0.000416
82,1724.14,0.80495,2.01732,0.99908,1,0.98519,0.995,0.65632,1.36118,1.92624,1.19181,0.0003962,0.0003962,0.0003962
83,1737.68,0.6552,1.08814,0.84603,1,0.98519,0.995,0.65632,1.36118,1.92624,1.19181,0.0003764,0.0003764,0.0003764
84,1751.92,0.73766,1.10819,0.88362,1,0.98686,0.995,0.65632,1.35596,1.90928,1.14846,0.0003566,0.0003566,0.0003566
85,1765.1,0.85007,1.52249,0.98295,1,0.98686,0.995,0.65632,1.35596,1.90928,1.14846,0.0003368,0.0003368,0.0003368
86,1778.48,0.69769,1.03912,0.87891,1,0.98793,0.995,0.64134,1.33144,1.81286,1.13143,0.000317,0.000317,0.000317
87,1792.18,0.68179,1.2106,0.86739,1,0.98793,0.995,0.64134,1.33144,1.81286,1.13143,0.0002972,0.0002972,0.0002972
88,1806.14,0.62672,1.0958,0.88114,1,0.98857,0.995,0.68106,1.29604,1.67394,1.12597,0.0002774,0.0002774,0.0002774
89,1819.17,0.73218,1.27029,0.92915,1,0.98857,0.995,0.68106,1.29604,1.67394,1.12597,0.0002576,0.0002576,0.0002576
90,1833.18,0.5915,1.07121,0.86223,1,0.98916,0.995,0.66541,1.27556,1.54456,1.12991,0.0002378,0.0002378,0.0002378
91,1847.16,0.66389,1.23316,0.89888,1,0.98916,0.995,0.66541,1.27556,1.54456,1.12991,0.000218,0.000218,0.000218
92,1860.36,0.59045,1.42057,0.87719,1,0.9891,0.995,0.63907,1.26219,1.47841,1.15269,0.0001982,0.0001982,0.0001982
93,1873.4,0.64636,1.44455,0.86444,1,0.9891,0.995,0.63907,1.26219,1.47841,1.15269,0.0001784,0.0001784,0.0001784
94,1886.58,0.59457,1.41116,0.85035,1,0.98905,0.995,0.65506,1.2695,1.46617,1.17728,0.0001586,0.0001586,0.0001586
95,1899.48,0.64986,1.53257,0.86865,1,0.98905,0.995,0.65506,1.2695,1.46617,1.17728,0.0001388,0.0001388,0.0001388
96,1912.58,0.61262,1.30144,0.89677,1,0.98915,0.995,0.65506,1.26699,1.44806,1.17836,0.000119,0.000119,0.000119
97,1926.92,0.58178,1.45232,0.78293,1,0.98915,0.995,0.65506,1.26699,1.44806,1.17836,9.92e-05,9.92e-05,9.92e-05
98,1939.94,0.49317,1.40104,0.874,1,0.98921,0.995,0.65506,1.25501,1.44243,1.16481,7.94e-05,7.94e-05,7.94e-05
99,1952.51,0.58953,1.21372,0.87987,1,0.98921,0.995,0.65506,1.25501,1.44243,1.16481,5.96e-05,5.96e-05,5.96e-05
100,1966.38,0.61105,1.42762,0.93179,1,0.98929,0.995,0.65506,1.2475,1.41893,1.16167,3.98e-05,3.98e-05,3.98e-05
